,Unnamed: 0,강원도,가평군,가경동,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
509,,,,노은면,,,,,,,,,,,,,
510,,,,노학동,,,,,,,,,,,,,
511,,,,노형동,,,,,,,,,,,,,
512,,,,노화읍,,,,,,,,,,,,,
513,,,,녹번동,,,,,,,,,,,,,
514,,,,녹산동,,,,,,,,,,,,,
515,,,,녹양동,,,,,,,,,,,,,
516,,,,녹전면,,,,,,,,,,,,,
517,,,,논공읍,,,,,,,,,,,,,
518,,,,논현1동,,,,,,,,,,,,,
519,,,,논현2동,,,,,,,,,,,,,
520,,,,논현고잔동,,,,,,,,,,,,,
521,,,,농성1동,,,,,,,,,,,,,
522,,,,농성2동,,,,,,,,,,,,,
523,,,,농소1동,,,,,,,,,,,,,
524,,,,농소2동,,,,,,,,,,,,,
525,,,,농소3동,,,,,,,,,,,,,
526,,,,농소동,,,,,,,,,,,,,
527,,,,농소면,,,,,,,,,,,,,
528,,,,농암면,,,,,,,,,,,,,
529,,,,능곡동,,,,,,,,,,,,,
530,,,,능동,,,,,,,,,,,,,
531,,,,능서면,,,,,,,,,,,,,
532,,,,능주면,,,,,,,,,,,,,
533,,,,능포동,,,,,,,,,,,,,
534,,,,다대제1동,,,,,,,,,,,,,
535,,,,다대제2동,,,,,,,,,,,,,
536,,,,다도면,,,,,,,,,,,,,
537,,,,다사읍,,,,,,,,,,,,,
538,,,,다산1동,,,,,,,,,,,,,
539,,,,다산2동,,,,,,,,,,,,,
540,,,,다산동,,,,,,,,,,,,,
541,,,,다산면,,,,,,,,,,,,,
542,,,,다시면,,,,,,,,,,,,,
543,,,,다압면,,,,,,,,,,,,,
544,,,,다운동,,,,,,,,,,,,,
545,,,,다인면,,,,,,,,,,,,,
546,,,,다정동,,,,,,,,,,,,,
547,,,,단계동,,,,,,,,,,,,,
548,,,,단구동,,,,,,,,,,,,,
549,,,,단대동,,,,,,,,,,,,,
550,,,,단밀면,,,,,,,,,,,,,
551,,,,단북면,,,,,,,,,,,,,
552,,,,단산면,,,,,,,,,,,,,
553,,,,단성면,,,,,,,,,,,,,
554,,,,단양읍,,,,,,,,,,,,,
555,,,,단월면,,,,,,,,,,,,,
556,,,,단장면,,,,,,,,,,,,,
557,,,,단촌면,,,,,,,,,,,,,
558,,,,달동,,,,,,,,,,,,,
559,,,,달산면,,,,,,,,,,,,,
560,,,,달안동,,,,,,,,,,,,,
561,,,,달천동,,,,,,,,,,,,,
562,,,,담양읍,,,,,,,,,,,,,
563,,,,답십리제1동,,,,,,,,,,,,,
564,,,,답십리제2동,,,,,,,,,,,,,
565,,,,당감제1동,,,,,,,,,,,,,
566,,,,당감제2동,,,,,,,,,,,,,
567,,,,당감제4동,,,,,,,,,,,,,
568,,,,당리동,,,,,,,,,,,,,
569,,,,당산제1동,,,,,,,,,,,,,
570,,,,당산제2동,,,,,,,,,,,,,
571,,,,당진1동,,,,,,,,,,,,,
572,,,,당진2동,,,,,,,,,,,,,
573,,,,당진3동,,,,,,,,,,,,,
574,,,,당하동,,,,,,,,,,,,,
575,,,,대가면,,,,,,,,,,,,,
576,,,,대가야읍,,,,,,,,,,,,,
577,,,,대강면,,,,,,,,,,,,,
578,,,,대곡동,,,,,,,,,,,,,
579,,,,대곡면,,,,,,,,,,,,,
580,,,,대곶면,,,,,,,,,,,,,
581,,,,대관령면,,,,,,,,,,,,,
582,,,,대교동,,,,,,,,,,,,,
583,,,,대구면,,,,,,,,,,,,,
584,,,,대덕동,,,,,,,,,,,,,
585,,,,대덕면,,,,,,,,,,,,,
586,,,,대덕읍,,,,,,,,,,,,,
587,,,,대동,,,,,,,,,,,,,
588,,,,대동면,,,,,,,,,,,,,
589,,,,대륜동,,,,,,,,,,,,,
590,,,,대림제1동,,,,,,,,,,,,,
591,,,,대림제2동,,,,,,,,,,,,,
592,,,,대림제3동,,,,,,,,,,,,,
593,,,,대마면,,,,,,,,,,,,,
594,,,,대명10동,,,,,,,,,,,,,
595,,,,대명11동,,,,,,,,,,,,,
596,,,,대명1동,,,,,,,,,,,,,
597,,,,대명2동,,,,,,,,,,,,,
598,,,,대명3동,,,,,,,,,,,,,
599,,,,대명4동,,,,,,,,,,,,,
600,,,,대명5동,,,,,,,,,,,,,
601,,,,대명6동,,,,,,,,,,,,,
602,,,,대명9동,,,,,,,,,,,,,
603,,,,대방동,,,,,,,,,,,,,
604,,,,대병면,,,,,,,,,,,,,
605,,,,대봉1동,,,,,,,,,,,,,
606,,,,대봉2동,,,,,,,,,,,,,
607,,,,대부동,,,,,,,,,,,,,
608,,,,대사동,,,,,,,,,,,,,
609,,,,대산동,,,,,,,,,,,,,
610,,,,대산면,,,,,,,,,,,,,
611,,,,대산읍,,,,,,,,,,,,,
612,,,,대서면,,,,,,,,,,,,,
613,,,,대성동,,,,,,,,,,,,,
614,,,,대소면,,,,,,,,,,,,,
615,,,,대소원면,,,,,,,,,,,,,
616,,,,대송동,,,,,,,,,,,,,
617,,,,대송면,,,,,,,,,,,,,
618,,,,대술면,,,,,,,,,,,,,
619,,,,대신동,,,,,,,,,,,,,
620,,,,대신면,,,,,,,,,,,,,
621,,,,대야동,,,,,,,,,,,,,
622,,,,대야면,,,,,,,,,,,,,
623,,,,대양면,,,,,,,,,,,,,
624,,,,대연제1동,,,,,,,,,,,,,
625,,,,대연제3동,,,,,,,,,,,,,
626,,,,대연제4동,,,,,,,,,,,,,
627,,,,대연제5동,,,,,,,,,,,,,
628,,,,대연제6동,,,,,,,,,,,,,
629,,,,대원동,,,,,,,,,,,,,
630,,,,대월면,,,,,,,,,,,,,
631,,,,대의면,,,,,,,,,,,,,
632,,,,대이동,,,,,,,,,,,,,
633,,,,대저1동,,,,,,,,,,,,,
634,,,,대저2동,,,,,,,,,,,,,
635,,,,대전면,,,,,,,,,,,,,
636,,,,대정읍/마라도포함,,,,,,,,,,,,,
637,,,,대조동,,,,,,,,,,,,,
638,,,,대지면,,,,,,,,,,,,,
639,,,,대창면,,,,,,,,,,,,,
640,,,,대천1동,,,,,,,,,,,,,
641,,,,대천2동,,,,,,,,,,,,,
642,,,,대천3동,,,,,,,,,,,,,
643,,,,대천4동,,,,,,,,,,,,,
644,,,,대천5동,,,,,,,,,,,,,
645,,,,대천동,,,,,,,,,,,,,
646,,,,대청동,,,,,,,,,,,,,
647,,,,대청면,,,,,,,,,,,,,
648,,,,대촌동,,,,,,,,,,,,,
649,,,,대치1동,,,,,,,,,,,,,
650,,,,대치2동,,,,,,,,,,,,,
651,,,,대치4동,,,,,,,,,,,,,
652,,,,대치면,,,,,,,,,,,,,
653,,,,대평동,,,,,,,,,,,,,
654,,,,대평면,,,,,,,,,,,,,
655,,,,대포동,,,,,,,,,,,,,
656,,,,대학동,,,,,,,,,,,,,
657,,,,대합면,,,,,,,,,,,,,
658,,,,대항면,,,,,,,,,,,,,
659,,,,대현동,,,,,,,,,,,,,
660,,,,대호지면,,,,,,,,,,,,,
661,,,,대화동,,,,,,,,,,,,,
662,,,,대화면,,,,,,,,,,,,,
663,,,,대흥동,,,,,,,,,,,,,
664,,,,대흥면,,,,,,,,,,,,,
665,,,,덕계동,,,,,,,,,,,,,
666,,,,덕곡면,,,,,,,,,,,,,
667,,,,덕과면,,,,,,,,,,,,,
668,,,,덕산동,,,,,,,,,,,,,
669,,,,덕산면,,,,,,,,,,,,,
670,,,,덕산읍,,,,,,,,,,,,,
671,,,,덕암동,,,,,,,,,,,,,
672,,,,덕연동,,,,,,,,,,,,,
673,,,,덕적면,,,,,,,,,,,,,
674,,,,덕진동,,,,,,,,,,,,,
675,,,,덕진면,,,,,,,,,,,,,
676,,,,덕천면,,,,,,,,,,,,,
677,,,,덕천제1동,,,,,,,,,,,,,
678,,,,덕천제2동,,,,,,,,,,,,,
679,,,,덕천제3동,,,,,,,,,,,,,
680,,,,덕치면,,,,,,,,,,,,,
681,,,,덕포제1동,,,,,,,,,,,,,
682,,,,덕포제2동,,,,,,,,,,,,,
683,,,,덕풍1동,,,,,,,,,,,,,
684,,,,덕풍2동,,,,,,,,,,,,,
685,,,,덕풍3동,,,,,,,,,,,,,
686,,,,도개면,,,,,,,,,,,,,
687,,,,도계읍,,,,,,,,,,,,,
688,,,,도고면,,,,,,,,,,,,,
689,,,,도곡1동,,,,,,,,,,,,,
690,,,,도곡2동,,,,,,,,,,,,,
691,,,,도곡면,,,,,,,,,,,,,
692,,,,도담동,,,,,,,,,,,,,
693,,,,도덕면,,,,,,,,,,,,,
694,,,,도두동,,,,,,,,,,,,,
695,,,,도량동,,,,,,,,,,,,,
696,,,,도림동,,,,,,,,,,,,,
697,,,,도마1동,,,,,,,,,,,,,
698,,,,도마2동,,,,,,,,,,,,,
699,,,,도봉제1동,,,,,,,,,,,,,
700,,,,도봉제2동,,,,,,,,,,,,,
701,,,,도사동,,,,,,,,,,,,,
702,,,,도산동,,,,,,,,,,,,,
703,,,,도산면,,,,,,,,,,,,,
704,,,,도안면,,,,,,,,,,,,,
705,,,,도암면,,,,,,,,,,,,,
706,,,,도양읍,,,,,,,,,,,,,
707,,,,도원동,,,,,,,,,,,,,
708,,,,도척면,,,,,,,,,,,,,
709,,,,도천동,,,,,,,,,,,,,
710,,,,도천면,,,,,,,,,,,,,
711,,,,도초면,,,,,,,,,,,,,
712,,,,도촌동,,,,,,,,,,,,,
713,,,,도통동,,,,,,,,,,,,,
714,,,,도평동,,,,,,,,,,,,,
715,,,,도포면,,,,,,,,,,,,,
716,,,,도화1동,,,,,,,,,,,,,
717,,,,"도화2,3동",,,,,,,,,,,,,
718,,,,도화동,,,,,,,,,,,,,
719,,,,도화면,,,,,,,,,,,,,
720,,,,독도,,,,,,,,,,,,,
721,,,,독산제1동,,,,,,,,,,,,,
722,,,,독산제2동,,,,,,,,,,,,,
723,,,,독산제3동,,,,,,,,,,,,,
724,,,,독산제4동,,,,,,,,,,,,,
725,,,,돈암제1동,,,,,,,,,,,,,
726,,,,돈암제2동,,,,,,,,,,,,,
727,,,,돌산읍,,,,,,,,,,,,,
728,,,,동강면,,,,,,,,,,,,,
729,,,,동계면,,,,,,,,,,,,,
730,,,,동곡동,,,,,,,,,,,,,
731,,,,동광동,,,,,,,,,,,,,
732,,,,동구동,,,,,,,,,,,,,
733,,,,동내면,,,,,,,,,,,,,
734,,,,동대신제1동,,,,,,,,,,,,,
735,,,,동대신제2동,,,,,,,,,,,,,
736,,,,동대신제3동,,,,,,,,,,,,,
737,,,,동량면,,,,,,,,,,,,,
738,,,,동로면,,,,,,,,,,,,,
739,,,,동림동,,,,,,,,,,,,,
740,,,,동면,,,,,,,,,,,,,
741,,,,동명동,,,,,,,,,,,,,
742,,,,동명면,,,,,,,,,,,,,
743,,,,동문1동,,,,,,,,,,,,,
744,,,,동문2동,,,,,,,,,,,,,
745,,,,동문동,,,,,,,,,,,,,
746,,,,동백1동,,,,,,,,,,,,,
747,,,,동백2동,,,,,,,,,,,,,
748,,,,동백3동,,,,,,,,,,,,,
749,,,,동백동,,,,,,,,,,,,,
750,,,,동복면,,,,,,,,,,,,,
751,,,,동부동,,,,,,,,,,,,,
752,,,,동부면,,,,,,,,,,,,,
753,,,,동산동,,,,,,,,,,,,,
754,,,,동산면,,,,,,,,,,,,,
755,,,,동삼제1동,,,,,,,,,,,,,
756,,,,동삼제2동,,,,,,,,,,,,,
757,,,,동삼제3동,,,,,,,,,,,,,
758,,,,동상동,,,,,,,,,,,,,
759,,,,동상면,,,,,,,,,,,,,
760,,,,동서금동,,,,,,,,,,,,,
761,,,,동서동,,,,,,,,,,,,,
762,,,,동서학동,,,,,,,,,,,,,
763,,,,동선동,,,,,,,,,,,,,
764,,,,동성동,,,,,,,,,,,,,
765,,,,동송읍,,,,,,,,,,,,,
766,,,,동읍,,,,,,,,,,,,,
767,,,,동이면,,,,,,,,,,,,,
768,,,,동인동,,,,,,,,,,,,,
769,,,,동인천동,,,,,,,,,,,,,
770,,,,동일면,,,,,,,,,,,,,
771,,,,동진면,,,,,,,,,,,,,
772,,,,동천동,,,,,,,,,,,,,
773,,,,동촌동,,,,,,,,,,,,,
774,,,,동춘1동,,,,,,,,,,,,,
775,,,,동춘2동,,,,,,,,,,,,,
776,,,,동춘3동,,,,,,,,,,,,,
777,,,,동충동,,,,,,,,,,,,,
778,,,,동탄1동,,,,,,,,,,,,,
779,,,,동탄2동,,,,,,,,,,,,,
780,,,,동탄3동,,,,,,,,,,,,,
781,,,,동탄4동,,,,,,,,,,,,,
782,,,,동탄5동,,,,,,,,,,,,,
783,,,,동탄6동,,,,,,,,,,,,,
784,,,,동탄7동,,,,,,,,,,,,,
785,,,,동탄8동,,,,,,,,,,,,,
786,,,,동해면,,,,,,,,,,,,,
787,,,,동향면,,,,,,,,,,,,,
788,,,,동호동,,,,,,,,,,,,,
789,,,,동홍동,,,,,,,,,,,,,
790,,,,동화동,,,,,,,,,,,,,
791,,,,동화면,,,,,,,,,,,,,
792,,,,두동면,,,,,,,,,,,,,
793,,,,두류1.2동,,,,,,,,,,,,,
794,,,,두류3동,,,,,,,,,,,,,
795,,,,두마면,,,,,,,,,,,,,
796,,,,두산동,,,,,,,,,,,,,
797,,,,두서면,,,,,,,,,,,,,
798,,,,두암1동,,,,,,,,,,,,,
799,,,,두암2동,,,,,,,,,,,,,
800,,,,두암3동,,,,,,,,,,,,,
801,,,,두원면,,,,,,,,,,,,,
802,,,,두촌면,,,,,,,,,,,,,
803,,,,두호동,,,,,,,,,,,,,
804,,,,둔내면,,,,,,,,,,,,,
805,,,,둔덕동,,,,,,,,,,,,,
806,,,,둔덕면,,,,,,,,,,,,,
807,,,,둔산1동,,,,,,,,,,,,,
808,,,,둔산2동,,,,,,,,,,,,,
809,,,,둔산3동,,,,,,,,,,,,,
810,,,,둔촌제1동,,,,,,,,,,,,,
811,,,,둔촌제2동,,,,,,,,,,,,,
812,,,,둔포면,,,,,,,,,,,,,
813,,,,득량면,,,,,,,,,,,,,
814,,,,등촌제1동,,,,,,,,,,,,,
815,,,,등촌제2동,,,,,,,,,,,,,
816,,,,등촌제3동,,,,,,,,,,,,,
817,,,,마도면,,,,,,,,,,,,,
818,,,,마동,,,,,,,,,,,,,
819,,,,마두1동,,,,,,,,,,,,,
820,,,,마두2동,,,,,,,,,,,,,
821,,,,마량면,,,,,,,,,,,,,
822,,,,마령면,,,,,,,,,,,,,
823,,,,마로면,,,,,,,,,,,,,
824,,,,마리면,,,,,,,,,,,,,
825,,,,마북동,,,,,,,,,,,,,
826,,,,마산동,,,,,,,,,,,,,
827,,,,마산면,,,,,,,,,,,,,
828,,,,마서면,,,,,,,,,,,,,
829,,,,마성면,,,,,,,,,,,,,
830,,,,마암면,,,,,,,,,,,,,
831,,,,마장동,,,,,,,,,,,,,
832,,,,마장면,,,,,,,,,,,,,
833,,,,마전동,,,,,,,,,,,,,
834,,,,마천1동,,,,,,,,,,,,,
835,,,,마천2동,,,,,,,,,,,,,
836,,,,마천면,,,,,,,,,,,,,
837,,,,만경읍,,,,,,,,,,,,,
838,,,,만년동,,,,,,,,,,,,,
839,,,,만덕동,,,,,,,,,,,,,
840,,,,만덕제1동,,,,,,,,,,,,,
841,,,,만덕제2동,,,,,,,,,,,,,
842,,,,만덕제3동,,,,,,,,,,,,,
843,,,,만석동,,,,,,,,,,,,,
844,,,,만수1동,,,,,,,,,,,,,
845,,,,만수2동,,,,,,,,,,,,,
846,,,,만수3동,,,,,,,,,,,,,
847,,,,만수4동,,,,,,,,,,,,,
848,,,,만수5동,,,,,,,,,,,,,
849,,,,만수6동,,,,,,,,,,,,,
850,,,,만촌1동,,,,,,,,,,,,,
851,,,,만촌2동,,,,,,,,,,,,,
852,,,,만촌3동,,,,,,,,,,,,,
853,,,,만호동,,,,,,,,,,,,,
854,,,,망미제1동,,,,,,,,,,,,,
855,,,,망미제2동,,,,,,,,,,,,,
856,,,,망상동,,,,,,,,,,,,,
857,,,,망성면,,,,,,,,,,,,,
858,,,,망우본동,,,,,,,,,,,,,
859,,,,망우제3동,,,,,,,,,,,,,
860,,,,망운면,,,,,,,,,,,,,
861,,,,망원제1동,,,,,,,,,,,,,
862,,,,망원제2동,,,,,,,,,,,,,
863,,,,망포1동,,,,,,,,,,,,,
864,,,,망포2동,,,,,,,,,,,,,
865,,,,매곡동,,,,,,,,,,,,,
866,,,,매곡면,,,,,,,,,,,,,
867,,,,매교동,,,,,,,,,,,,,
868,,,,매산동,,,,,,,,,,,,,
869,,,,매송면,,,,,,,,,,,,,
870,,,,매전면,,,,,,,,,,,,,
871,,,,매탄1동,,,,,,,,,,,,,
872,,,,매탄2동,,,,,,,,,,,,,
873,,,,매탄3동,,,,,,,,,,,,,
874,,,,매탄4동,,,,,,,,,,,,,
875,,,,매포읍,,,,,,,,,,,,,
876,,,,매화동,,,,,,,,,,,,,
877,,,,매화면,,,,,,,,,,,,,
878,,,,맹동면,,,,,,,,,,,,,
879,,,,면목본동,,,,,,,,,,,,,
880,,,,면목제2동,,,,,,,,,,,,,
881,,,,면목제3.8동,,,,,,,,,,,,,
882,,,,면목제4동,,,,,,,,,,,,,
883,,,,면목제5동,,,,,,,,,,,,,
884,,,,면목제7동,,,,,,,,,,,,,
885,,,,면천면,,,,,,,,,,,,,
886,,,,명곡동,,,,,,,,,,,,,
887,,,,명동,,,,,,,,,,,,,
888,,,,명륜1동,,,,,,,,,,,,,
889,,,,명륜2동,,,,,,,,,,,,,
890,,,,명륜동,,,,,,,,,,,,,
891,,,,명석면,,,,,,,,,,,,,
892,,,,명일제1동,,,,,,,,,,,,,
893,,,,명일제2동,,,,,,,,,,,,,
894,,,,명장제1동,,,,,,,,,,,,,
895,,,,명장제2동,,,,,,,,,,,,,
896,,,,명정동,,,,,,,,,,,,,
897,,,,명지1동,,,,,,,,,,,,,
898,,,,명지2동,,,,,,,,,,,,,
899,,,,명호면,,,,,,,,,,,,,
900,,,,모가면,,,,,,,,,,,,,
901,,,,모동면,,,,,,,,,,,,,
902,,,,모라제1동,,,,,,,,,,,,,
903,,,,모라제3동,,,,,,,,,,,,,
904,,,,모서면,,,,,,,,,,,,,
905,,,,모충동,,,,,,,,,,,,,
906,,,,모현동,,,,,,,,,,,,,
907,,,,모현읍,,,,,,,,,,,,,
908,,,,목1동,,,,,,,,,,,,,
909,,,,목2동,,,,,,,,,,,,,
910,,,,목3동,,,,,,,,,,,,,
911,,,,목4동,,,,,,,,,,,,,
912,,,,목5동,,,,,,,,,,,,,
913,,,,목감동,,,,,,,,,,,,,
914,,,,목동,,,,,,,,,,,,,
915,,,,목면,,,,,,,,,,,,,
916,,,,목사동면,,,,,,,,,,,,,
917,,,,목상동,,,,,,,,,,,,,
918,,,,목원동,,,,,,,,,,,,,
919,,,,목천읍,,,,,,,,,,,,,
920,,,,목행.용탄동,,,,,,,,,,,,,
921,,,,몽탄면,,,,,,,,,,,,,
922,,,,묘도동,,,,,,,,,,,,,
923,,,,묘량면,,,,,,,,,,,,,
924,,,,묘산면,,,,,,,,,,,,,
925,,,,무거동,,,,,,,,,,,,,
926,,,,무릉도원면,,,,,,,,,,,,,
927,,,,무실동,,,,,,,,,,,,,
928,,,,무악동,,,,,,,,,,,,,
929,,,,무안면,,,,,,,,,,,,,
930,,,,무안읍,,,,,,,,,,,,,
931,,,,무을면,,,,,,,,,,,,,
932,,,,무장면,,,,,,,,,,,,,
933,,,,무전동,,,,,,,,,,,,,
934,,,,무정면,,,,,,,,,,,,,
935,,,,무주읍,,,,,,,,,,,,,
936,,,,무태조야동,,,,,,,,,,,,,
937,,,,무풍면,,,,,,,,,,,,,
938,,,,묵제1동,,,,,,,,,,,,,
939,,,,묵제2동,,,,,,,,,,,,,
940,,,,묵호동,,,,,,,,,,,,,
941,,,,문경읍,,,,,,,,,,,,,
942,,,,문곡소도동,,,,,,,,,,,,,
943,,,,문광면,,,,,,,,,,,,,
944,,,,문내면,,,,,,,,,,,,,
945,,,,문덕면,,,,,,,,,,,,,
946,,,,문래동,,,,,,,,,,,,,
947,,,,문막읍,,,,,,,,,,,,,
948,,,,문무대왕면,,,,,,,,,,,,,
949,,,,문백면,,,,,,,,,,,,,
950,,,,문산면,,,,,,,,,,,,,
951,,,,문산읍,,,,,,,,,,,,,
952,,,,문성동,,,,,,,,,,,,,
953,,,,문수동,,,,,,,,,,,,,
954,,,,문수면,,,,,,,,,,,,,
955,,,,문원동,,,,,,,,,,,,,
956,,,,문의면,,,,,,,,,,,,,
957,,,,문정1동,,,,,,,,,,,,,
958,,,,문정2동,,,,,,,,,,,,,
959,,,,문창동,,,,,,,,,,,,,
960,,,,문척면,,,,,,,,,,,,,
961,,,,문평면,,,,,,,,,,,,,
962,,,,문학동,,,,,,,,,,,,,
963,,,,문현제1동,,,,,,,,,,,,,
964,,,,문현제2동,,,,,,,,,,,,,
965,,,,문현제3동,,,,,,,,,,,,,
966,,,,문현제4동,,,,,,,,,,,,,
967,,,,문화1동,,,,,,,,,,,,,
968,,,,문화2동,,,,,,,,,,,,,
969,,,,문화동,,,,,,,,,,,,,
970,,,,문흥1동,,,,,,,,,,,,,
971,,,,문흥2동,,,,,,,,,,,,,
972,,,,물금읍,,,,,,,,,,,,,
973,,,,물야면,,,,,,,,,,,,,
974,,,,미력면,,,,,,,,,,,,,
975,,,,미로면,,,,,,,,,,,,,
976,,,,미사1동,,,,,,,,,,,,,
977,,,,미사2동,,,,,,,,,,,,,
978,,,,미산면,,,,,,,,,,,,,
979,,,,미성동,,,,,,,,,,,,,
980,,,,미수동,,,,,,,,,,,,,
981,,,,미아동,,,,,,,,,,,,,
982,,,,미암면,,,,,,,,,,,,,
983,,,,미양면,,,,,,,,,,,,,
984,,,,미원면,,,,,,,,,,,,,
985,,,,미조면,,,,,,,,,,,,,
986,,,,미천면,,,,,,,,,,,,,
987,,,,미탄면,,,,,,,,,,,,,
988,,,,미평동,,,,,,,,,,,,,
989,,,,민락동,,,,,,,,,,,,,
990,,,,박달1동,,,,,,,,,,,,,
991,,,,박달2동,,,,,,,,,,,,,
992,,,,반곡관설동,,,,,,,,,,,,,
993,,,,반구1동,,,,,,,,,,,,,
994,,,,반구2동,,,,,,,,,,,,,
995,,,,반남면,,,,,,,,,,,,,
996,,,,반송동,,,,,,,,,,,,,
997,,,,반송제1동,,,,,,,,,,,,,
998,,,,반송제2동,,,,,,,,,,,,,
999,,,,반여제1동,,,,,,,,,,,,,
1000,,,,반여제2동,,,,,,,,,,,,,
1001,,,,반여제3동,,,,,,,,,,,,,
1002,,,,반여제4동,,,,,,,,,,,,,
1003,,,,반월동,,,,,,,,,,,,,
1004,,,,반포1동,,,,,,,,,,,,,
1005,,,,반포2동,,,,,,,,,,,,,
1006,,,,반포3동,,,,,,,,,,,,,
1007,,,,반포4동,,,,,,,,,,,,,
1008,,,,반포면,,,,,,,,,,,,,
1009,,,,반포본동,,,,,,,,,,,,,
1010,,,,발산제1동,,,,,,,,,,,,,
1011,,,,발한동,,,,,,,,,,,,,
1012,,,,방림1동,,,,,,,,,,,,,
1013,,,,방림2동,,,,,,,,,,,,,
1014,,,,방림면,,,,,,,,,,,,,
1015,,,,방배1동,,,,,,,,,,,,,
1016,,,,방배2동,,,,,,,,,,,,,
1017,,,,방배3동,,,,,,,,,,,,,
1018,,,,방배4동,,,,,,,,,,,,,
1019,,,,방배본동,,,,,,,,,,,,,
1020,,,,방산면,,,,,,,,,,,,,
1021,,,,방어동,,,,,,,,,,,,,
1022,,,,방이1동,,,,,,,,,,,,,
1023,,,,방이2동,,,,,,,,,,,,,
1024,,,,방촌동,,,,,,,,,,,,,
1025,,,,방학제1동,,,,,,,,,,,,,
1026,,,,방학제2동,,,,,,,,,,,,,
1027,,,,방학제3동,,,,,,,,,,,,,
1028,,,,방화제1동,,,,,,,,,,,,,
1029,,,,방화제2동,,,,,,,,,,,,,
1030,,,,방화제3동,,,,,,,,,,,,,
1031,,,,배곧동,,,,,,,,,,,,,
1032,,,,배방읍,,,,,,,,,,,,,
1033,,,,백곡면,,,,,,,,,,,,,
1034,,,,백구면,,,,,,,,,,,,,
1035,,,,백령면,,,,,,,,,,,,,
1036,,,,백사면,,,,,,,,,,,,,
1037,,,,백산면,,,,,,,,,,,,,
1038,,,,백석1동,,,,,,,,,,,,,
1039,,,,백석2동,,,,,,,,,,,,,
1040,,,,백석동,,,,,,,,,,,,,
1041,,,,백석읍,,,,,,,,,,,,,
1042,,,,백수읍,,,,,,,,,,,,,
1043,,,,백아면,,,,,,,,,,,,,
1044,,,,백암면,,,,,,,,,,,,,
1045,,,,백운1동,,,,,,,,,,,,,
1046,,,,백운2동,,,,,,,,,,,,,
1047,,,,백운동,,,,,,,,,,,,,
1048,,,,백운면,,,,,,,,,,,,,
1049,,,,백전면,,,,,,,,,,,,,
1050,,,,백학면,,,,,,,,,,,,,
1051,,,,백현동,,,,,,,,,,,,,
1052,,,,번1동,,,,,,,,,,,,,
